EVTYPE_Old,EVTYPE_New
GRASS FIRES,WILDFIRE
GROUND BLIZZARD,BLIZZARD
GUSTNADO,STRONG WIND
GUSTY WIND,HIGH WIND
GUSTY WIND/HAIL,HIGH WIND
GUSTY WIND/HVY RAIN,HIGH WIND
Gusty wind/rain,HIGH WIND
GUSTY WINDS,HIGH WIND
Gusty Winds,HIGH WIND
Gusty winds,HIGH WIND
HAIL,HAIL
HAIL 0.75,HAIL
HAIL 075,HAIL
HAIL 100,HAIL
HAIL 125,HAIL
HAIL 150,HAIL
HAIL 175,HAIL
HAIL 200,HAIL
HAIL 275,HAIL
HAIL 450,HAIL
HAIL 75,HAIL
HAIL DAMAGE,HAIL
HAIL/WIND,HAIL
HAIL/WINDS,HAIL
HAILSTORM,HAIL
HARD FREEZE,FROST/FREEZE
HAZARDOUS SURF,HIGH SURF
HEAT,HEAT
HEAT WAVE,HEAT
Heat Wave,HEAT
HEAT WAVE DROUGHT,HEAT
HEAT WAVES,HEAT
HEAVY LAKE SNOW,HEAVY SNOW
HEAVY MIX,WINTER STORM
HEAVY PRECIPITATION,HEAVY RAIN
HEAVY RAIN,HEAVY RAIN
HEAVY RAIN AND FLOOD,HEAVY RAIN
Heavy Rain/High Surf,HEAVY RAIN
HEAVY RAIN/LIGHTNING,HEAVY RAIN
HEAVY RAIN/SEVERE WEATHER,HEAVY RAIN
HEAVY RAIN/SMALL STREAM URBAN,HEAVY RAIN
HEAVY RAIN/SNOW,HEAVY RAIN
HEAVY RAINS,HEAVY RAIN
HEAVY RAINS/FLOODING,HEAVY RAIN
HEAVY SEAS,MARINE STRONG WIND
HEAVY SHOWER,HEAVY RAIN
HEAVY SNOW,HEAVY SNOW
HEAVY SNOW AND HIGH WINDS,HEAVY SNOW
HEAVY SNOW AND STRONG WINDS,HEAVY SNOW
Heavy snow shower,HEAVY SNOW
HEAVY SNOW SQUALLS,HEAVY SNOW
HEAVY SNOW/BLIZZARD,WINTER STORM
HEAVY SNOW/BLIZZARD/AVALANCHE,WINTER STORM
HEAVY SNOW/FREEZING RAIN,HEAVY SNOW
HEAVY SNOW/HIGH WINDS & FLOOD,HEAVY SNOW
HEAVY SNOW/ICE,HEAVY SNOW
HEAVY SNOW/SQUALLS,HEAVY SNOW
HEAVY SNOW/WIND,HEAVY SNOW
HEAVY SNOW/WINTER STORM,WINTER STORM
HEAVY SNOWPACK,HEAVY SNOW
HEAVY SNOW-SQUALLS,HEAVY SNOW
HEAVY SURF,HIGH SURF
Heavy Surf,HIGH SURF
Heavy surf and wind,HIGH SURF
HEAVY SURF COASTAL FLOODING,HIGH SURF
HEAVY SURF/HIGH SURF,HIGH SURF
HEAVY SWELLS,HIGH SURF
HIGH,UNDEFINED
HIGH  WINDS,HIGH WIND
HIGH SEAS,MARINE HIGH WIND
HIGH SURF,HIGH SURF
High Surf,HIGH SURF
HIGH SWELLS,MARINE HIGH WIND
HIGH TIDES,MARINE HIGH WIND
HIGH WATER,COASTAL FLOOD
HIGH WAVES,MARINE HIGH WIND
HIGH WIND,HIGH WIND
HIGH WIND (G40),HIGH WIND
HIGH WIND 48,HIGH WIND
HIGH WIND AND SEAS,HIGH WIND
HIGH WIND DAMAGE,HIGH WIND
HIGH WIND/BLIZZARD,BLIZZARD
HIGH WIND/HEAVY SNOW,WINTER STORM
HIGH WIND/SEAS,MARINE HIGH WIND
HIGH WINDS,HIGH WIND
HIGH WINDS HEAVY RAINS,THUNDERSTORM WIND
HIGH WINDS/,HIGH WIND
HIGH WINDS/COASTAL FLOOD,COASTAL FLOOD
HIGH WINDS/COLD,HIGH WIND
HIGH WINDS/HEAVY RAIN,HEAVY RAIN
HIGH WINDS/SNOW,WINTER STORM
HURRICANE,HURRICANE
Hurricane Edouard,HURRICANE
HURRICANE EMILY,HURRICANE
HURRICANE ERIN,HURRICANE
HURRICANE FELIX,HURRICANE
HURRICANE GORDON,HURRICANE
HURRICANE OPAL,HURRICANE
HURRICANE OPAL/HIGH WINDS,HURRICANE
HURRICANE/TYPHOON,HURRICANE
HURRICANE-GENERATED SWELLS,HURRICANE
HVY RAIN,HEAVY RAIN
HYPERTHERMIA/EXPOSURE,COLD/WIND CHILL
HYPOTHERMIA,COLD/WIND CHILL
Hypothermia/Exposure,EXTREME COLD/WIND CHILL
HYPOTHERMIA/EXPOSURE,EXTREME COLD/WIND CHILL
ICE,ICE STORM
ICE AND SNOW,ICE STORM
ICE FLOES,ICE STORM
ICE JAM,ICE STORM
Ice jam flood (minor,ICE STORM
ICE JAM FLOODING,ICE STORM
ICE ON ROAD,ICE STORM
ICE ROADS,ICE STORM
ICE STORM,ICE STORM
ICE STORM/FLASH FLOOD,ICE STORM
ICE/STRONG WINDS,ICE STORM
ICY ROADS,ICE STORM
Lake Effect Snow,LAKE-EFFECT SNOW
LAKE EFFECT SNOW,LAKE-EFFECT SNOW
LAKE FLOOD,LAKESHORE FLOOD
LAKE-EFFECT SNOW,LAKE-EFFECT SNOW
LAKESHORE FLOOD,LAKESHORE FLOOD
LANDSLIDE,AVALANCHE
LANDSLIDES,AVALANCHE
Landslump,AVALANCHE
LANDSPOUT,WATERSPOUT
LATE SEASON SNOW,HEAVY SNOW
LIGHT FREEZING RAIN,WINTER WEATHER
Light snow,WINTER WEATHER
Light Snow,WINTER WEATHER
LIGHT SNOW,WINTER WEATHER
Light Snowfall,WINTER WEATHER
LIGHTING,LIGHTNING
LIGHTNING,LIGHTNING
LIGHTNING  WAUSEON,LIGHTNING
LIGHTNING AND HEAVY RAIN,LIGHTNING
LIGHTNING AND THUNDERSTORM WIN,LIGHTNING
LIGHTNING FIRE,LIGHTNING
LIGHTNING INJURY,LIGHTNING
LIGHTNING THUNDERSTORM WINDS,LIGHTNING
LIGHTNING.,LIGHTNING
LIGHTNING/HEAVY RAIN,LIGHTNING
LIGNTNING,LIGHTNING
LOW TEMPERATURE,COLD/WIND CHILL
MAJOR FLOOD,FLOOD
Marine Accident,UNDEFINED
MARINE HAIL,MARINE HAIL
MARINE HIGH WIND,MARINE HIGH WIND
MARINE MISHAP,UNDEFINED
MARINE STRONG WIND,MARINE STRONG WIND
MARINE THUNDERSTORM WIND,MARINE THUNDERSTORM WIND
MARINE TSTM WIND,MARINE THUNDERSTORM WIND
MICROBURST,HIGH WIND
Microburst,HIGH WIND
MICROBURST WINDS,HIGH WIND
MINOR FLOODING,FLOOD
MIXED PRECIP,WINTER WEATHER
Mixed Precipitation,WINTER WEATHER
MIXED PRECIPITATION,WINTER WEATHER
MUD SLIDE,AVALANCHE
MUD SLIDES,AVALANCHE
MUD SLIDES URBAN FLOODING,AVALANCHE
MUDSLIDE,AVALANCHE
Mudslide,AVALANCHE
MUDSLIDES,AVALANCHE
Mudslides,AVALANCHE
NON TSTM WIND,HIGH WIND
NON-SEVERE WIND DAMAGE,HIGH WIND
NON-TSTM WIND,HIGH WIND
Other,UNDEFINED
OTHER,UNDEFINED
RAIN,HEAVY RAIN
RAIN/SNOW,WINTER WEATHER
RAIN/WIND,WINTER WEATHER
RAINSTORM,WINTER WEATHER
RAPIDLY RISING WATER,FLOOD
RECORD COLD,EXTREME COLD/WIND CHILL
RECORD HEAT,EXCESSIVE HEAT
RECORD RAINFALL,HEAVY RAIN
RECORD SNOW,HEAVY SNOW
RECORD/EXCESSIVE HEAT,EXCESSIVE HEAT
RIP CURRENT,RIP CURRENT
RIP CURRENTS,RIP CURRENT
RIP CURRENTS/HEAVY SURF,RIP CURRENT
RIVER AND STREAM FLOOD,FLOOD
RIVER FLOOD,FLOOD
RIVER FLOODING,FLOOD
River Flooding,FLOOD
ROCK SLIDE,AVALANCHE
ROGUE WAVE,HIGH SURF
ROUGH SEAS,MARINE HIGH WIND
ROUGH SURF,HIGH SURF
RURAL FLOOD,FLOOD
SEICHE,SEICHE
SEVERE THUNDERSTORM,THUNDERSTORM WIND
SEVERE THUNDERSTORM WINDS,THUNDERSTORM WIND
SEVERE THUNDERSTORMS,THUNDERSTORM WIND
SEVERE TURBULENCE,THUNDERSTORM WIND
SLEET,WINTER WEATHER
SLEET/ICE STORM,WINTER WEATHER
SMALL HAIL,HAIL
SMALL STREAM FLOOD,FLOOD
SNOW,HEAVY SNOW
Snow,HEAVY SNOW
SNOW ACCUMULATION,HEAVY SNOW
SNOW AND HEAVY SNOW,HEAVY SNOW
SNOW AND ICE,HEAVY SNOW
SNOW AND ICE STORM,WINTER STORM
SNOW FREEZING RAIN,WINTER WEATHER
SNOW SQUALL,HEAVY SNOW
SNOW SQUALLS,HEAVY SNOW
Snow Squalls,HEAVY SNOW
SNOW/ BITTER COLD,WINTER WEATHER
SNOW/ ICE,WINTER WEATHER
SNOW/BLOWING SNOW,WINTER WEATHER
SNOW/COLD,WINTER WEATHER
SNOW/FREEZING RAIN,WINTER WEATHER
SNOW/HEAVY SNOW,HEAVY SNOW
SNOW/HIGH WINDS,WINTER STORM
SNOW/ICE,WINTER WEATHER
SNOW/ICE STORM,WINTER STORM
SNOW/SLEET,WINTER WEATHER
SNOW/SLEET/FREEZING RAIN,WINTER WEATHER
SNOWMELT FLOODING,FLOOD
STORM FORCE WINDS,STRONG WIND
STORM SURGE,STORM SURGE
STORM SURGE/TIDE,MARINE THUNDERSTORM WIND
STRONG WIND,STRONG WIND
Strong Wind,STRONG WIND
STRONG WINDS,STRONG WIND
Strong Winds,STRONG WIND
THUDERSTORM WINDS,THUNDERSTORM WIND
THUNDEERSTORM WINDS,THUNDERSTORM WIND
THUNDERESTORM WINDS,THUNDERSTORM WIND
THUNDERSNOW,THUNDERSTORM WIND
THUNDERSTORM,THUNDERSTORM WIND
THUNDERSTORM  WINDS,THUNDERSTORM WIND
THUNDERSTORM DAMAGE TO,THUNDERSTORM WIND
THUNDERSTORM HAIL,THUNDERSTORM WIND
THUNDERSTORM WIND,THUNDERSTORM WIND
THUNDERSTORM WIND (G40),THUNDERSTORM WIND
THUNDERSTORM WIND 60 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 65 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 65MPH,THUNDERSTORM WIND
THUNDERSTORM WIND 98 MPH,THUNDERSTORM WIND
THUNDERSTORM WIND G50,THUNDERSTORM WIND
THUNDERSTORM WIND G52,THUNDERSTORM WIND
THUNDERSTORM WIND G55,THUNDERSTORM WIND
THUNDERSTORM WIND G60,THUNDERSTORM WIND
THUNDERSTORM WIND TREES,THUNDERSTORM WIND
THUNDERSTORM WIND.,THUNDERSTORM WIND
THUNDERSTORM WIND/ TREE,THUNDERSTORM WIND
THUNDERSTORM WIND/ TREES,THUNDERSTORM WIND
THUNDERSTORM WIND/AWNING,THUNDERSTORM WIND
THUNDERSTORM WIND/HAIL,THUNDERSTORM WIND
THUNDERSTORM WIND/LIGHTNING,THUNDERSTORM WIND
THUNDERSTORM WINDS,THUNDERSTORM WIND
THUNDERSTORM WINDS 13,THUNDERSTORM WIND
THUNDERSTORM WINDS 63 MPH,THUNDERSTORM WIND
THUNDERSTORM WINDS AND,THUNDERSTORM WIND
THUNDERSTORM WINDS G60,THUNDERSTORM WIND
THUNDERSTORM WINDS HAIL,THUNDERSTORM WIND
THUNDERSTORM WINDS LIGHTNING,THUNDERSTORM WIND
THUNDERSTORM WINDS.,THUNDERSTORM WIND
THUNDERSTORM WINDS/ FLOOD,THUNDERSTORM WIND
THUNDERSTORM WINDS/FLOODING,THUNDERSTORM WIND
THUNDERSTORM WINDS/FUNNEL CLOU,THUNDERSTORM WIND
THUNDERSTORM WINDS/HAIL,THUNDERSTORM WIND
THUNDERSTORM WINDS53,THUNDERSTORM WIND
THUNDERSTORM WINDSHAIL,THUNDERSTORM WIND
THUNDERSTORM WINDSS,THUNDERSTORM WIND
THUNDERSTORM WINS,THUNDERSTORM WIND
THUNDERSTORMS,THUNDERSTORM WIND
THUNDERSTORMS WIND,THUNDERSTORM WIND
THUNDERSTORMS WINDS,THUNDERSTORM WIND
THUNDERSTORMW,THUNDERSTORM WIND
THUNDERSTORMWINDS,THUNDERSTORM WIND
THUNDERSTROM WIND,THUNDERSTORM WIND
THUNDERTORM WINDS,THUNDERSTORM WIND
THUNERSTORM WINDS,THUNDERSTORM WIND
TIDAL FLOODING,COASTAL FLOOD
Tidal Flooding,COASTAL FLOOD
TORNADO,TORNADO
TORNADO F0,TORNADO
TORNADO F1,TORNADO
TORNADO F2,TORNADO
TORNADO F3,TORNADO
TORNADOES,TORNADO
"TORNADOES, TSTM WIND, HAIL",TORNADO
TORNDAO,TORNADO
Torrential Rainfall,HEAVY RAIN
TROPICAL DEPRESSION,TROPICAL DEPRESSION
TROPICAL STORM,TROPICAL STORM
TROPICAL STORM ALBERTO,TROPICAL STORM
TROPICAL STORM DEAN,TROPICAL STORM
TROPICAL STORM GORDON,TROPICAL STORM
TROPICAL STORM JERRY,TROPICAL STORM
TSTM WIND,THUNDERSTORM WIND
Tstm Wind,THUNDERSTORM WIND
TSTM WIND  (G45),THUNDERSTORM WIND
TSTM WIND (41),THUNDERSTORM WIND
TSTM WIND (G35),THUNDERSTORM WIND
TSTM WIND (G40),THUNDERSTORM WIND
TSTM WIND (G45),THUNDERSTORM WIND
TSTM WIND 40,THUNDERSTORM WIND
TSTM WIND 45,THUNDERSTORM WIND
TSTM WIND 55,THUNDERSTORM WIND
TSTM WIND 65),THUNDERSTORM WIND
TSTM WIND AND LIGHTNING,THUNDERSTORM WIND
TSTM WIND DAMAGE,THUNDERSTORM WIND
TSTM WIND G45,THUNDERSTORM WIND
TSTM WIND G58,THUNDERSTORM WIND
TSTM WIND/HAIL,THUNDERSTORM WIND
TSTM WINDS,THUNDERSTORM WIND
TSTMW,THUNDERSTORM WIND
TSUNAMI,TSUNAMI
TUNDERSTORM WIND,THUNDERSTORM WIND
TYPHOON,TSUNAMI
Unseasonable Cold,COLD/WIND CHILL
UNSEASONABLY COLD,COLD/WIND CHILL
UNSEASONABLY WARM,HEAT
UNSEASONABLY WARM AND DRY,HEAT
UNSEASONAL RAIN,HEAVY RAIN
URBAN AND SMALL,FLOOD
URBAN AND SMALL STREAM FLOODIN,FLOOD
URBAN FLOOD,FLOOD
URBAN FLOODING,FLOOD
URBAN FLOODS,FLOOD
URBAN SMALL,FLOOD
URBAN/SMALL STREAM,FLOOD
URBAN/SMALL STREAM FLOOD,FLOOD
URBAN/SML STREAM FLD,FLOOD
VOLCANIC ASH,VOLCANIC ASH
WARM WEATHER,HEAT
WATERSPOUT,WATERSPOUT
WATERSPOUT-,WATERSPOUT
WATERSPOUT TORNADO,WATERSPOUT
WATERSPOUT/ TORNADO,WATERSPOUT
WATERSPOUT/TORNADO,WATERSPOUT
WATERSPOUT-TORNADO,WATERSPOUT
WET MICROBURST,HIGH WIND
Whirlwind,HIGH WIND
WHIRLWIND,HIGH WIND
WILD FIRES,WILDFIRE
WILD/FOREST FIRE,WILDFIRE
WILD/FOREST FIRES,WILDFIRE
WILDFIRE,WILDFIRE
WILDFIRES,WILDFIRE
WIND,HIGH WIND
Wind,HIGH WIND
WIND AND WAVE,HIGH WIND
WIND DAMAGE,HIGH WIND
Wind Damage,HIGH WIND
WIND STORM,HIGH WIND
WIND/HAIL,HAIL
WINDS,HIGH WIND
WINTER STORM,WINTER STORM
WINTER STORM HIGH WINDS,WINTER STORM
WINTER STORMS,WINTER STORM
WINTER WEATHER,WINTER WEATHER
WINTER WEATHER MIX,WINTER WEATHER
WINTER WEATHER/MIX,WINTER WEATHER
Wintry Mix,WINTER WEATHER
WINTRY MIX,WINTER WEATHER
